Movie Name,IMDB Rating,Rotten Tomatoes Users,Rotten Tomatoes Critics,Metacritic Users,Metacritic Critics
Zodiac,7.0,7.7,9.0,8.4,7.9
Black Swan,3.4,8.4,8.5,8.2,7.9
Our Children,6.8,6.9,9.3,8.2,7.9
Hilary and Jackie,7.3,8.3,8.8,7.9,7.8
Lady and the Tramp,7.3,5.0,6.6,7.9,7.8
Indignation,6.8,7.4,8.1,7.3,7.8
Bird,7.1,7.9,8.3,7.3,7.8
Enough Said,7.0,7.5,9.5,7.6,7.8
Play Misty for Me,6.9,7.2,8.5,7.6,7.8
28 Weeks Later,6.9,6.6,7.2,6.9,7.8
Insomnia,5.5,7.7,9.2,8.0,7.8
Control,5.9,2.2,7.1,7.6,7.8
My Flesh and Blood,8.3,9.3,9.0,4.5,7.8
Roman Holiday,8.0,9.3,9.5,8.3,7.8
Lifeboat,7.6,8.7,9.0,8.1,7.8
Airplane!,7.7,8.9,9.7,7.9,7.8
Thirteen,8.3,7.7,8.1,8.4,7.8
Castle in the Sky,8.0,9.1,9.6,8.5,7.8
Blue Jasmine,7.3,7.7,9.1,7.6,7.8
It Comes at Night,6.2,4.4,8.8,6.3,7.8
Please Give,6.6,6.4,8.6,7.5,7.8
Hellboy II: The Golden Army,7.0,7.1,8.6,7.7,7.8
Tabu,6.1,7.7,9.3,6.4,7.8
Lumumba,7.2,8.3,8.2,4.5,7.8
Speed,7.9,7.6,9.4,8.6,7.8
Breathe,7.7,7.2,6.8,6.5,7.8
Clash,4.3,8.2,9.3,7.1,7.8
Amanda Knox,5.6,7.1,8.3,7.1,7.8
Babette's Feast,7.8,9.1,9.7,8.0,7.8
Near Dark,6.9,7.4,8.3,7.5,7.8
Dirty Pretty Things,7.3,8.2,9.4,8.3,7.8
Chungking Express,8.0,9.3,8.8,8.3,7.8
A Silent Voice,6.2,9.3,9.5,8.5,7.8
After the Wedding,7.7,8.7,8.8,8.0,7.8
Devil in a Blue Dress,6.8,7.0,9.2,6.7,7.8
Midnight Run,7.5,8.7,9.5,8.6,7.8
The Guard,7.0,8.1,9.4,7.3,7.8
Blue Ruin,7.1,7.9,9.6,7.4,7.8
Ex Machina,7.7,8.6,9.2,8.0,7.8
Detective Story,7.5,7.1,7.2,7.0,7.8
Eve's Bayou,7.2,8.9,8.3,7.0,7.8
Dr. No,7.2,8.2,9.5,7.5,7.8
Much Ado About Nothing,4.9,8.6,9.0,7.5,7.8
Ruthless People,6.9,7.2,9.3,5.9,7.8
Lost in America,7.0,7.7,9.5,7.4,7.8
Endless Poetry,7.5,8.0,9.3,7.3,7.8
Barbarian,3.0,7.1,9.3,7.4,7.8
Lone Star,6.1,8.3,9.2,7.7,7.8
Thief,7.2,8.1,7.9,8.6,7.8
Tracks,6.3,7.7,8.2,7.2,7.8
Magnolia,8.0,8.9,8.3,4.5,7.8
1917,6.0,8.8,8.9,8.3,7.8
Love Exposure,8.0,8.8,9.1,8.2,7.8
Gaslight,7.3,7.7,10.0,8.8,7.8
Morvern Callar,6.7,7.4,8.5,5.7,7.8
Last Orders,6.9,7.2,7.9,6.0,7.8
"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.",7.5,8.7,10.0,7.0,7.8
Logan Lucky,7.0,7.6,9.2,6.9,7.8
James and the Giant Peach,6.7,6.5,9.1,6.6,7.8
Alice Doesn't Live Here Anymore,7.3,8.2,8.9,7.2,7.8
Dazed and Confused,7.6,9.0,9.2,7.9,7.8
2046,7.4,8.5,8.6,7.5,7.8
Kung Fu Hustle,7.7,8.9,9.0,8.5,7.8
Win It All,6.2,5.5,8.5,7.0,7.7
The Messenger,6.1,2.1,3.3,7.6,7.7
"Play It Again, Sam",7.6,8.9,9.7,4.9,7.7
Children of Heaven,8.2,9.5,8.3,7.6,7.7
Grandma,7.2,6.7,9.1,6.9,7.7
"I, Tonya",7.5,8.8,9.0,7.8,7.7
Evolution,6.3,4.8,4.3,7.0,7.7
Fat Girl,6.4,6.4,7.4,7.3,7.7
Grindhouse,4.4,8.7,8.4,7.9,7.7
Body Heat,7.4,8.0,9.6,8.5,7.7
Pom Poko,7.3,7.7,8.6,7.1,7.7
Relic,7.9,5.2,9.2,6.1,7.7
Ruby in Paradise,6.9,7.6,8.6,7.8,7.7
Chi-Raq,5.9,5.0,8.2,5.4,7.7
Saturday Night Fever,6.8,7.1,8.3,8.2,7.7
Pump Up the Volume,7.2,8.4,7.9,8.2,7.7
Animal Crackers,7.4,7.8,6.4,6.5,7.7
Calvary,6.8,8.0,8.9,7.4,7.7
Tom Jones,6.4,5.8,8.0,7.2,7.7
Apprentice,6.9,6.3,8.5,7.0,7.7
Apples,6.8,7.2,9.3,6.0,7.7
The Hunt,7.2,6.6,5.7,8.4,7.7
The Beguiled,7.2,4.8,7.8,6.1,7.7
Somers Town,6.8,7.5,9.6,6.8,7.7
Scratch,7.8,9.3,9.4,4.9,7.7
Shanghai Noon,6.6,6.5,8.0,8.5,7.7
Detroit,5.4,7.9,8.2,6.6,7.7
The Edge of Seventeen,7.3,8.3,9.4,7.6,7.7
Logan,5.9,9.0,9.4,8.5,7.7
Water,6.9,9.0,9.1,7.0,7.7
Monsoon Wedding,7.3,8.7,9.5,7.6,7.7
How to Train Your Dragon 2,7.8,9.0,9.2,8.3,7.7
The Disaster Artist,7.3,8.5,9.1,7.6,7.6
Kandahar,6.8,7.5,8.9,7.1,7.6
Rosetta,7.4,8.3,9.0,8.0,7.6
Smoke Signals,7.2,8.2,8.1,6.6,7.6
Grosse Pointe Blank,7.3,8.7,8.2,8.4,7.6
Maggie's Plan,8.9,5.2,8.6,6.3,7.6
Adventureland,6.8,6.1,8.8,7.3,7.6
Inside Man,7.6,8.5,8.6,7.3,7.6
Guardians of the Galaxy,7.0,9.2,9.2,8.2,7.6
Birdman of Alcatraz,7.8,8.4,9.1,7.5,7.6
The Hunter,6.2,4.4,7.9,6.1,7.6
Lore,6.3,7.6,9.4,7.6,7.6
In America,7.7,9.1,8.9,8.3,7.6
Jesus' Son,6.9,8.3,7.9,6.8,7.6
Princess Mononoke,8.3,9.4,9.3,8.8,7.6
Donnie Brasco,7.7,8.9,8.8,3.0,7.6
When Harry Met Sally...,7.7,8.9,9.1,8.3,7.6
Hoosiers,7.4,8.8,9.1,8.3,7.6
Heat,6.1,9.4,8.8,8.6,7.6
Blue Velvet,7.7,8.8,9.5,7.8,7.6
Dreamgirls,6.6,7.1,7.9,7.3,7.6
All Quiet on the Western Front,8.1,8.9,9.8,7.9,7.6
Peter Pan,7.1,8.0,7.7,6.8,7.6
Flight,6.0,7.5,7.7,7.3,7.6
Citizen K,7.1,7.1,9.5,6.1,7.6
Dave,6.9,7.2,9.5,7.0,7.6
Shine a Light,7.1,7.4,8.6,7.4,7.6
Blue Car,6.6,6.5,8.1,6.7,7.6
Chuck & Buck,6.6,6.6,8.4,7.6,7.6
Menace II Society,7.5,9.3,8.4,8.1,7.6
Father of the Bride,7.1,7.4,9.0,6.3,7.6
Shotgun Stories,7.1,8.0,8.8,7.3,7.6
Housebound,4.2,7.3,9.5,7.6,7.6
Zola,7.3,6.8,8.8,6.2,7.6
Midnight Special,6.6,6.7,8.3,6.8,7.6
Undertow,5.8,9.0,8.8,8.3,7.6
Japan,5.4,7.4,7.9,4.8,7.6
Brothers,3.4,8.5,8.9,8.4,7.6
Margin Call,7.1,7.4,8.7,7.2,7.6
Wonder Woman,4.6,7.8,8.3,6.0,7.6
Shaun of the Dead,7.9,9.3,9.2,8.5,7.6
House Party,6.5,8.1,9.4,8.2,7.6
Safe,7.7,7.5,8.7,8.2,7.6
Stronger,5.2,8.0,9.0,7.3,7.6
Reds,7.3,8.2,9.0,8.2,7.6
Tim's Vermeer,7.8,8.6,8.9,8.5,7.6
Standing in the Shadows of Motown,7.8,8.9,9.1,8.0,7.6
Chevalier,7.0,5.0,8.3,3.2,7.6
Reality,1.0,6.9,8.0,,8.7
Witness,7.4,8.0,9.3,8.3,7.6
Trees Lounge,7.1,7.9,8.1,6.8,7.6
What We Do in the Shadows,7.3,8.7,9.6,7.8,7.6
10 Cloverfield Lane,7.2,7.9,9.0,7.6,7.6
Ghost in the Shell,7.9,8.9,9.5,8.5,7.6
Rabbit Hole,7.0,7.2,8.7,7.6,7.6
American Gangster,7.8,8.9,8.1,7.6,7.6
Nightcrawler,7.9,8.6,9.5,8.6,7.6
The Hunger Games: Catching Fire,7.5,8.9,9.0,7.9,7.6
Submarine,6.4,8.2,8.8,7.8,7.6
The Stranger,6.4,9.7,10.0,7.8,7.6
Superbad,7.6,8.7,8.8,8.0,7.6
Sophie Scholl: The Final Days,7.6,8.8,8.7,8.3,7.6
Pearl,6.6,8.2,9.2,6.8,7.6
The Lovers,7.1,4.2,8.2,6.2,7.6
Down to the Bone,7.2,7.0,9.4,6.2,7.6
Lucas,6.9,7.0,7.3,7.1,7.5
Inherit the Wind,8.1,9.1,9.3,6.8,7.5
OT: Our Town,7.3,7.7,8.8,8.0,7.5
State and Main,6.7,7.0,8.5,6.1,7.5
Rango,7.1,7.0,8.8,7.7,7.5
Border,6.1,7.6,9.7,6.6,7.5
Frank,5.5,7.2,9.2,7.1,7.5
Easy Money,4.6,6.3,8.6,6.5,7.5
"What Happened, Miss Simone?",7.6,8.5,9.0,7.9,7.5
Bulworth,6.8,6.8,7.6,7.6,7.5
Jeremiah Johnson,7.6,8.9,9.5,7.5,7.5
Possession,7.3,5.8,6.3,7.7,7.5
Blaze,6.0,6.6,9.5,5.8,7.5
Down by Law,7.7,9.4,8.7,7.5,7.5
Boy A,7.6,8.7,8.8,8.1,7.5
Risky Business,6.6,7.3,9.2,3.9,7.5
Heavy,6.7,6.7,8.7,5.4,7.5
Lovely & Amazing,6.7,6.3,8.6,7.5,7.5
Joy Ride,5.7,8.3,10.0,,8.1
Attack the Block,6.7,7.5,9.0,7.1,7.5
Misery,7.8,9.0,9.1,8.4,7.5
Win Win,7.2,8.5,9.4,7.7,7.5
Clean,6.8,5.6,4.7,7.1,7.5
Croupier,7.0,7.9,9.5,6.4,7.5
Lost in La Mancha,7.3,7.7,9.4,7.7,7.5
Infernal Affairs,8.0,9.5,9.4,6.8,7.5
Bernie,7.1,7.3,8.8,7.2,7.5
Bridesmaids,5.8,7.6,8.9,7.1,7.5
Tully,6.4,7.4,8.7,7.4,7.5
Darkest Hour,4.2,8.2,8.4,7.3,7.5
I Shot Andy Warhol,6.6,7.1,7.7,7.3,7.5
Stefan Zweig: Farewell to Europe,6.7,6.7,9.3,7.0,7.5
Enchanted,6.4,8.0,9.3,8.2,7.5
Lady Vengeance,7.5,8.7,7.6,8.0,7.5
Shrek 2,7.3,6.9,8.9,8.7,7.5
Elizabeth,7.4,8.6,8.3,7.4,7.5
Mistress America,6.7,6.6,8.2,6.6,7.5
Spy,6.6,7.8,9.5,4.9,7.5
Casualties of War,7.1,7.5,8.3,5.1,7.5
The Escape,5.5,4.9,7.6,6.0,7.5
The Wolfpack,7.0,6.8,8.7,6.7,7.5
Little Children,7.5,8.2,8.0,7.4,7.5
Terminator 2: Judgment Day,8.6,9.5,9.2,8.9,7.5
Dark Days,7.7,8.9,9.4,7.5,7.5
Captain America: Civil War,7.8,8.9,9.0,8.0,7.5
Stand by Me,8.1,9.4,9.2,8.4,7.5
The Square,6.8,7.1,8.5,7.1,7.5
Kitchen Stories,7.3,8.6,9.1,7.1,7.5
Roger Dodger,6.9,7.6,8.8,7.8,7.5
Startup.com,7.1,7.3,9.3,7.0,7.5
Liberty Heights,7.0,7.6,8.6,8.3,7.5
Born on the Fourth of July,7.2,7.6,8.5,7.7,7.5
Funny Face,6.3,4.5,6.9,7.0,7.5
Dial M for Murder,8.2,9.2,9.0,8.3,7.5
Graceland,7.9,7.1,8.5,5.8,7.5
X-Men: Days of Future Past,7.9,9.1,9.0,8.3,7.5
Peggy Sue Got Married,6.4,5.5,8.7,7.4,7.5
Silent Movie,6.7,7.2,8.1,5.9,7.5
Martha Marcy May Marlene,6.8,7.1,9.0,7.0,7.5
Kicking and Screaming,6.7,7.5,5.7,7.7,7.5
Baadasssss!,7.3,8.4,9.1,8.4,7.5
Trainwreck,6.2,6.6,8.4,5.5,7.5
In This World,7.3,8.8,8.9,7.3,7.5
About a Boy,7.1,5.5,9.3,7.4,7.5
This Film Is Not Yet Rated,7.4,8.1,8.4,7.3,7.5
Orlando,7.1,8.2,8.4,7.7,7.5
Bastard Out of Carolina,7.3,8.4,10.0,7.4,7.5
What Ever Happened to Baby Jane?,8.0,9.1,9.2,7.6,7.5
Solas,7.5,8.7,9.0,7.8,7.5
The Longest Day,7.7,9.0,8.7,7.2,7.5
Waitress,7.0,7.4,8.9,7.0,7.5
Who's Afraid of Virginia Woolf?,8.0,9.0,9.6,7.7,7.5
The Skeleton Twins,6.8,6.9,8.6,7.2,7.4
Natural Born Killers,7.2,8.1,4.8,6.9,7.4
Me and Earl and the Dying Girl,7.7,8.6,8.1,8.1,7.4
The Rabbi's Cat,7.1,7.6,9.4,7.7,7.4
I Kill Giants,6.1,7.4,7.7,6.7,7.4
Sicko,8.0,8.7,9.1,7.5,7.4
Monster,7.3,8.1,8.1,7.3,7.4
Frankenweenie,7.2,7.0,8.8,7.4,7.4
Black Hawk Down,7.7,8.8,7.7,7.9,7.4
Radio Days,7.4,8.4,9.2,7.2,7.4
For a Few Dollars More,8.2,9.4,9.2,8.4,7.4
Rize,7.1,8.5,8.4,8.4,7.4
Wild,7.6,7.5,8.8,7.2,7.4
Humpday,6.0,5.1,7.9,6.8,7.4
Shakespeare Behind Bars,7.6,8.4,9.3,7.1,7.4
Oliver!,7.4,8.1,9.0,6.8,7.4
Flushed Away,6.6,6.5,7.3,7.5,7.4
Awakenings,7.8,8.9,8.6,8.3,7.4
Tucker: The Man and His Dream,6.9,6.8,8.3,6.9,7.4
Tomboy,4.7,8.3,9.6,7.6,7.4
Farewell,6.8,7.6,8.6,7.1,7.4
Red Lights,6.4,6.5,8.4,5.9,7.4
Ocean's Eleven,6.5,8.0,8.3,8.6,7.4
Rush,8.4,7.1,7.1,8.5,7.4
Mean Creek,7.1,8.2,8.9,7.9,7.4
Bully,6.9,7.8,8.5,7.3,7.4
The Magnificent Seven,7.7,8.7,8.9,7.4,7.4
Kundun,7.0,7.8,7.4,7.6,7.4
Winnie the Pooh,7.1,8.0,9.0,7.5,7.4
Munich,7.5,8.3,7.8,8.0,7.4
Thelma,7.0,7.7,9.2,7.7,7.4
Millions,6.5,7.8,8.8,8.2,7.4
East Is East,6.9,7.8,7.8,6.6,7.4
Edward Scissorhands,7.9,9.1,8.9,8.7,7.4
Dangerous Liaisons,7.6,7.1,8.8,7.6,7.4
In the Line of Fire,7.2,7.9,9.6,8.4,7.4
Hidden Figures,7.8,9.3,9.3,7.5,7.4
Assassins,6.3,8.2,9.8,6.6,7.4
Clear and Present Danger,6.9,7.4,8.0,7.4,7.4
Golden Door,6.8,6.9,7.2,7.7,7.4
The Town,5.8,8.5,9.2,7.3,7.4
Dressed to Kill,6.6,7.4,8.2,8.0,7.4
Into the Abyss,6.5,7.6,9.2,7.5,7.4
Interstellar,6.6,8.6,7.2,8.5,7.4
Bridge to Terabithia,5.9,7.0,8.5,7.4,7.4
Happy People: A Year in the Taiga,7.7,7.7,8.8,7.3,7.4
Egg,5.0,4.0,10.0,4.0,7.4
Billy Elliot,7.7,8.9,8.5,7.4,7.4
Days of Wine and Roses,7.9,8.9,10.0,7.7,7.4
Kung Fu Panda,7.6,8.3,8.7,8.3,7.4
The Duke,7.2,8.5,9.7,7.3,7.4
Hercules,5.4,4.8,5.8,7.4,7.4
Invictus,8.2,7.5,7.6,7.1,7.4
Big Hero 6,7.8,9.1,9.0,7.8,7.4
Mommy,4.8,8.9,8.8,8.4,7.4
My Kid Could Paint That,7.1,7.8,9.4,8.1,7.4
Sin City,5.9,7.8,7.7,8.7,7.4
She Said,7.3,9.1,8.8,5.0,7.4
Source Code,7.5,8.2,9.2,7.7,7.4
Metallica: Some Kind of Monster,7.5,8.3,8.8,6.7,7.4
Beast,8.1,7.7,6.8,7.0,7.4
Joe,6.8,6.8,8.6,7.2,7.4
Teacher's Pet,7.9,7.1,8.6,7.9,7.4
Breach,7.0,6.7,8.4,7.3,7.4
Japanese Story,6.8,6.9,6.8,7.3,7.3
Cast Away,7.8,8.4,8.9,7.7,7.3
High Art,6.6,7.7,7.6,8.5,7.3
Wag the Dog,7.1,7.6,8.6,7.4,7.3
Cape Fear,7.7,7.7,7.5,8.5,7.3
Roxanne,6.6,6.3,8.8,7.5,7.3
Tangerines,8.1,8.9,8.8,8.2,7.3
1945,7.1,8.3,9.7,7.7,7.3
Mysterious Skin,7.6,8.9,8.6,8.1,7.3
On the Rocks,7.5,5.0,8.7,6.3,7.3
Malcolm X,7.5,9.1,8.9,7.9,7.3
Fantastic Planet,7.7,8.7,9.1,7.0,7.3
Into the Wild,8.1,8.9,8.3,8.1,7.3
Red Cliff,6.6,7.8,9.1,7.4,7.3
Tokyo Godfathers,7.8,9.1,9.1,8.0,7.3
Lilo & Stitch,7.3,7.7,8.7,8.4,7.3
Show Me Love,7.5,8.6,9.1,7.3,7.3
Rust and Bone,7.4,8.0,8.2,7.9,7.3
Eye in the Sky,6.9,8.2,9.5,7.1,7.3
Val,5.2,8.9,9.4,7.8,7.3
All About Lily Chou-Chou,7.5,8.9,6.9,7.6,7.3
Wordplay,7.4,8.0,9.4,6.9,7.3
"Like Father, Like Son",6.0,8.9,8.6,8.0,7.3
Erin Brockovich,7.4,8.1,8.5,8.2,7.3
1971,8.2,7.8,9.7,7.8,7.3
A Most Wanted Man,6.7,6.5,8.5,7.0,7.3
Host,4.7,7.1,9.9,6.3,7.3
Something Wild,6.7,6.9,9.1,8.2,7.3
Wind River,6.3,9.0,8.8,7.9,7.3
"One, Two, Three",7.9,8.8,9.2,8.3,7.3
Marnie,7.1,7.3,8.3,6.7,7.3
The Raid: Redemption,7.6,8.7,8.7,8.1,7.3
Sonatine,7.0,8.9,9.2,5.0,7.3
Inland Empire,6.1,7.5,7.2,7.4,7.3
Blazing Saddles,7.7,9.1,8.9,7.0,7.3
Supernova,2.1,6.9,9.0,7.3,7.3
Re-Animator,7.2,8.2,9.4,7.8,7.3
Meet the Parents,6.7,7.9,8.4,8.6,7.3
Last Life in the Universe,7.5,9.0,9.0,8.3,7.3
Super Size Me,7.2,7.2,9.2,7.5,7.3
I'm Not Scared,7.4,8.7,9.0,7.6,7.3
Casino,6.3,9.3,7.9,8.7,7.3
Gilbert,8.8,8.7,9.5,7.0,7.3
Working Girl,6.8,6.7,8.3,8.2,7.3
Mad Max,6.8,7.0,9.1,7.0,7.3
Indie Game: The Movie,7.6,9.1,9.4,8.2,7.3
L.I.E.,7.1,7.8,8.4,6.5,7.3
Our Lady of the Assassins,6.8,6.8,7.8,7.2,7.3
Space Cowboys,6.5,5.3,7.8,6.2,7.3
Beyond the Mat,7.6,8.3,8.2,7.9,7.3
Wonder Boys,7.2,8.3,8.1,7.9,7.3
Not One Less,7.7,9.0,9.6,7.8,7.3
Straw Dogs,7.4,8.2,8.2,7.6,7.3
Boiling Point,6.8,6.4,9.4,7.3,7.3
Cars,7.2,8.0,7.4,7.5,7.3
Spider-Man,7.3,6.7,9.0,8.0,7.3
Zombieland,7.1,8.6,8.9,8.5,7.3
Big,7.3,8.2,9.8,8.3,7.3
Girl,5.2,3.3,5.7,6.1,7.3
Rope,7.9,9.0,9.2,8.4,7.3
Breakdown,6.1,3.6,1.0,8.4,7.3
Share,7.1,3.6,8.6,5.1,7.3
River's Edge,6.9,7.6,8.8,7.1,7.3
Mission: Impossible - Ghost Protocol,7.4,7.6,9.3,7.9,7.3
Hive,6.7,8.1,10.0,6.1,7.3
Cold in July,6.7,6.7,8.4,7.3,7.3
Metal: A Headbanger's Journey,8.0,9.1,9.0,8.0,7.3
Shattered Glass,7.1,7.9,9.2,7.7,7.3
Innocence,6.7,3.3,1.9,8.2,7.3
Bull Durham,7.1,8.2,9.7,8.4,7.3
War of the Worlds,6.5,4.2,7.5,7.5,7.3
Thirst,5.4,5.2,10.0,7.6,7.3
Notes on a Scandal,7.4,8.3,8.8,7.9,7.3
American Sniper,7.3,8.4,7.2,6.5,7.2
Bros,6.2,9.0,8.9,4.1,7.2
Stevie,6.9,7.0,6.0,8.1,7.2
Road to Perdition,7.7,8.6,8.1,7.9,7.2
Go,7.2,7.8,9.1,8.5,7.2
Antz,6.5,5.2,9.2,8.5,7.2
Gone Baby Gone,7.6,8.6,9.5,7.7,7.2
The Insult,7.6,8.8,8.6,8.2,7.2
Magic Mike,6.1,6.0,7.8,6.1,7.2
Straight Outta Compton,7.8,9.1,8.8,7.7,7.2
Captain Fantastic,8.6,8.5,8.3,7.8,7.2
Matilda,3.6,7.3,9.1,7.6,7.2
Bowling for Columbine,8.0,8.3,9.5,7.1,7.2
Groundhog Day,8.0,8.8,9.4,8.5,7.2
JFK,8.0,8.8,8.4,8.4,7.2
"Love, Simon",7.5,8.8,9.2,8.1,7.2
In the House,6.8,8.4,8.8,7.4,7.2
Exotica,7.0,8.3,9.5,6.2,7.2
City of Gold,7.1,8.0,8.9,7.4,7.2
Gran Torino,8.1,9.0,8.1,7.9,7.2
All That Jazz,7.8,8.5,8.7,8.0,7.2
Seabiscuit,7.3,7.6,7.8,7.1,7.2
Kissing Jessica Stein,6.6,6.5,8.3,7.9,7.2
3-Iron,7.9,9.4,8.7,8.3,7.2
Welcome to Sarajevo,6.7,7.4,7.8,6.3,7.2
Happy End,7.9,5.4,7.0,6.5,7.2
Earth,7.2,7.1,7.5,6.4,7.2
Bone Tomahawk,7.6,7.4,9.1,7.2,7.2
Risk,5.2,5.0,8.0,7.2,7.2
Phantasm,6.6,6.7,7.4,7.5,7.2
7 Days,3.7,8.0,8.6,7.0,7.2
Superman Returns,6.1,6.1,7.4,6.9,7.2
Pi,7.3,8.5,8.8,7.4,7.2
Presumed Innocent,6.9,6.7,8.6,7.6,7.2
Wreck-It Ralph,7.7,8.6,8.7,8.3,7.2
Hellboy,6.8,4.8,1.7,7.6,7.2
Betting on Zero,7.2,7.9,10.0,8.2,7.2
Sleepless in Seattle,6.8,7.5,7.5,7.0,7.2
"Hail, Caesar!",6.3,4.4,8.6,6.0,7.2
East of Eden,7.8,9.0,8.6,7.7,7.2
Igby Goes Down,6.9,8.0,7.5,7.3,7.2
Safety Not Guaranteed,6.9,8.0,9.1,7.4,7.2
Christine,6.3,7.1,8.9,6.8,7.2
Die Hard,8.2,9.4,9.4,5.5,7.2
Star Trek Into Darkness,7.5,8.9,8.4,7.6,7.2
Dope,6.9,8.3,8.8,7.5,7.2
Alice,7.7,5.7,7.1,4.5,7.2
Bellflower,6.3,6.3,7.3,5.7,7.2
Bob & Carol & Ted & Alice,6.7,6.6,8.2,6.8,7.2
50/50,7.9,8.8,9.3,8.4,7.2
War Horse,7.5,7.4,7.5,6.7,7.2
Super 8,5.7,7.5,8.1,7.3,7.2
Heaven Can Wait,7.4,6.8,8.7,7.5,7.2
Easy A,7.0,7.7,8.5,7.2,7.2
Priceless,6.4,7.7,4.0,7.0,7.2
Transsiberian,6.6,6.5,9.1,6.6,7.2
Down and Out in Beverly Hills,6.2,5.3,7.9,7.7,7.2
Barry,6.3,5.1,8.0,5.9,7.2
Slow West,6.9,7.4,9.2,6.6,7.2
Nowhere in Africa,7.5,8.8,8.5,7.8,7.2
Felicia's Journey,7.0,7.1,8.8,6.7,7.2
Your Sister's Sister,6.7,6.6,8.3,6.4,7.2
Koyaanisqatsi,8.2,9.1,9.0,7.3,7.2
Shame,6.5,7.5,7.9,7.7,7.2
Akeelah and the Bee,7.4,8.1,8.5,7.7,7.2
Brick,7.2,8.6,8.0,7.1,7.2
Doctor Strange,6.6,8.6,8.9,8.0,7.2
Death and the Maiden,7.2,8.1,8.2,7.7,7.2
Watcher,8.9,6.7,8.8,6.2,7.2
Ghost Town,6.0,6.0,8.5,6.9,7.2
Mostly Martha,7.2,8.9,9.2,8.2,7.2
Walk the Line,7.8,9.0,8.2,8.3,7.2
Six Degrees of Separation,6.8,7.1,8.8,6.8,7.2
Terri,6.8,6.1,8.7,6.8,7.2
Daylight,5.9,6.4,9.1,5.5,7.2
Match Point,8.0,8.1,7.7,8.4,7.2
"They Shoot Horses, Don't They?",7.8,8.9,8.5,7.5,7.2
Still Alice,7.5,8.5,8.5,7.8,7.2
Ethel & Ernest,7.7,8.7,9.7,6.7,7.2
Strictly Ballroom,7.2,8.7,8.8,7.2,7.2
The Silence,7.8,2.5,2.9,6.3,7.2
Despicable Me,7.6,8.3,8.0,7.6,7.2
Real Genius,6.9,8.3,7.7,7.5,7.1
Harry Potter and the Order of the Phoenix,7.5,8.1,7.8,7.3,7.1
Smashed,6.5,6.8,8.3,8.0,7.1
Paradise Now,6.0,8.7,8.9,7.8,7.1
Chasing Amy,7.2,8.3,8.7,8.3,7.1
F/X,6.7,5.3,8.9,7.8,7.1
Land of the Dead,6.2,5.1,7.4,6.7,7.1
Being Elmo: A Puppeteer's Journey,7.6,8.7,9.5,7.3,7.1
The Imitation Game,7.8,9.1,9.0,8.1,7.1
Wal-Mart: The High Cost of Low Price,6.8,6.5,9.0,7.5,7.1
Leap Year,6.1,4.7,2.3,7.4,7.1
Bugsy Malone,6.8,8.0,8.1,7.0,7.1
Married to the Mob,6.2,4.9,9.0,8.5,7.1
The Raid 2,7.9,8.7,8.2,8.4,7.1
All the Real Girls,6.7,7.8,7.1,6.8,7.1
Tadpole,6.2,5.7,7.7,6.3,7.1
Spy Kids,5.6,4.7,9.3,7.9,7.1
Wonderland,7.1,6.5,3.4,8.4,7.1
Luca,6.8,8.6,9.1,7.7,7.1
Prey,5.3,1.9,1.3,6.3,7.1
Searching,6.2,8.7,9.2,7.9,7.1
Rudy,7.5,9.0,7.8,8.2,7.1
Thank You for Smoking,7.5,8.7,8.6,7.4,7.1
Pete's Dragon,6.3,6.0,5.6,6.7,7.1
Monkey Shines,6.2,4.1,5.5,6.6,7.1
Ema,7.4,6.3,8.8,5.2,7.1
Intimate Strangers,6.5,6.9,8.6,7.6,7.1
Intolerable Cruelty,6.3,4.8,7.5,6.6,7.1
Bowfinger,6.5,6.1,8.1,8.3,7.1
Tropic Thunder,7.1,7.1,8.2,7.4,7.1
Disgrace,6.5,6.2,8.3,6.5,7.1
Wildcat,5.6,8.7,9.2,6.9,7.1
Mad Max Beyond Thunderdome,6.2,4.9,8.1,6.2,7.1
The Crow,7.5,9.0,8.4,8.0,7.1
Dolls,6.3,5.1,6.0,6.9,7.1
Tangled,5.9,8.7,8.9,8.4,7.1
Edge of Tomorrow,7.9,9.0,9.1,8.6,7.1
Three,7.8,2.7,1.7,6.7,7.1
Mulan,7.7,4.7,7.2,8.4,7.1
Swingers,7.2,8.9,8.8,4.2,7.1
1985,8.1,8.2,9.6,7.0,7.1
Rapt,6.5,6.7,9.7,6.7,7.1
Hacksaw Ridge,8.1,9.1,8.4,8.2,7.1
That Thing You Do!,7.0,7.8,9.4,7.8,7.1
Rosewood,7.2,8.3,8.7,8.6,7.1
Deep Blue,6.2,8.0,6.7,6.8,7.1
From Up on Poppy Hill,7.4,7.9,8.7,7.5,7.1
22 Jump Street,7.0,7.7,8.4,8.0,7.1
We Are What We Are,5.7,5.0,8.6,5.3,7.1
Young Adult,6.3,4.9,8.0,6.5,7.1
Aileen: Life and Death of a Serial Killer,7.1,7.3,8.5,6.6,7.1
Nicholas Nickleby,7.2,7.6,7.8,6.1,7.1
Real Women Have Curves,6.9,7.5,8.5,4.7,7.1
On the Town,7.3,8.3,9.3,6.0,7.1
Mad Hot Ballroom,7.4,8.3,8.4,6.8,7.1
Bronson,7.0,7.4,7.6,7.5,7.1
